wt,bl,beetle,mite,male,female,msize,fsize,mmite,fmite,mitenum,logmitenum,broodsize,broodmass,yield,density,clutchsize
16.26,1,G,G,,,5.14,5.09,64,79,143,2.158362492,9,1.9684,0.218711111,0.553505535,14
16.5,1,G,G,,,5.33,4.82,57,52,109,2.041392685,21,2.7652,0.13167619,1.272727273,23
16.03,1,G,G,,,5.04,4.99,45,116,161,2.209515015,11,2.0845,0.1895,0.68621335,11
16.64,1,G,G,,,5.28,5.37,68,42,110,2.045322979,19,2.2692,0.119431579,1.141826923,28
14.87,1,G,G,,,5.27,4.82,260,146,406,2.609594409,1,0.12,0.12,0.067249496,7
15.94,1,G,G,,,5.17,4.99,201,112,313,2.496929648,5,0.6636,0.13272,0.313676286,7
16.81,1,G,G,,,,4.71,58,87,145,2.164352856,18,2.5609,0.142272222,1.070791196,17
15.97,1,G,G,,,4.94,4.33,133,63,196,2.294466226,12,2.387,0.198916667,0.751408892,9
16.85,1,G,G,,,4.6,5.07,26,53,79,1.903089987,25,3.8549,0.154196,1.483679525,24
16.47,1,G,G,,,4.67,5.34,24,51,75,1.880813592,28,3.6687,0.131025,1.700060716,9
16.95,1,G,G,,,5.09,5.46,12,82,94,1.977723605,22,2.9655,0.134795455,1.297935103,30
15.33,1,G,G,,,5.64,4.84,106,81,187,2.274157849,18,2.3051,0.128061111,1.174168297,22
17.83,1,G,G,,,4.44,4.71,41,71,112,2.053078443,25,3.58,0.1432,1.402131239,9
18.56,1,G,G,,,4.55,4.64,94,62,156,2.195899652,8,1.308,0.1635,0.431034483,12
17.63,1,G,G,,,5.22,5.05,59,84,143,2.158362492,15,2.0782,0.138546667,0.850822462,19
18.74,1,G,G,,,4.9,4.41,313,131,444,2.648360011,10,1.8001,0.18001,0.53361793,10
17.58,1,G,G,,,5.12,4.56,60,49,109,2.041392685,18,3.0897,0.17165,1.023890785,13
17.28,1,G,G,,,5.48,5.52,36,45,81,1.913813852,24,3.4513,0.143804167,1.388888889,13
18.01,1,G,G,,,4.87,4.99,39,33,72,1.86332286,28,4.2553,0.151975,1.554691838,17
17.61,1,G,G,,,5.11,4.84,35,45,80,1.908485019,24,3.0799,0.128329167,1.36286201,20
18.65,1,G,G,,,5.11,4.56,47,18,65,1.819543936,25,3.3451,0.133804,1.340482574,19
18.72,1,G,G,,,5.29,5,231,115,346,2.540329475,9,1.4935,0.165944444,0.480769231,23
16.34,1,G,G,,,4.91,5.39,104,106,210,2.324282455,21,2.7976,0.133219048,1.285189718,26
15.81,1,G,G,,,4.84,5.18,54,57,111,2.049218023,20,2.3667,0.118335,1.265022138,12
15.99,1,G,G,,,5.09,4.54,213,,213,2.330413773,13,1.8372,0.141323077,0.81300813,3
16.24,1,G,G,,,4.89,4.86,47,56,103,2.017033339,22,3.4767,0.158031818,1.354679803,19
15.59,1,G,G,,,5.58,5.03,36,57,93,1.973127854,16,1.9811,0.12381875,1.02629891,21
16.62,1,G,G,,,5.56,4.9,59,36,95,1.982271233,5,0.9844,0.19688,0.300842359,12
18.75,1,G,G,,,5.4,4.6,167,196,363,2.561101384,15,2.0145,0.1343,0.8,15
17.62,1,G,G,,,4.96,5.46,122,102,224,2.352182518,2,0.3371,0.16855,0.113507378,13
18.55,1,G,G,,,5.49,5.35,51,79,130,2.117271296,6,1.2328,0.205466667,0.323450135,26
16.95,1,G,G,,,4.95,4.95,63,54,117,2.071882007,17,2.9952,0.176188235,1.002949853,9
16.14,1,W,W,,,5.25,5.42,40,57,97,1.991226076,24,2.758,0.114916667,1.486988848,25
16.54,1,W,W,,,4.98,5.11,96,78,174,2.243038049,28,3.0555,0.109125,1.69286578,13
16.6,1,W,W,,,5,5.08,38,43,81,1.913813852,20,3.1592,0.15796,1.204819277,1
16.45,1,W,W,,,5.01,5.57,69,112,181,2.260071388,18,2.6574,0.147633333,1.094224924,16
17.84,1,W,W,,,5.37,5.07,138,101,239,2.380211242,20,2.4281,0.121405,1.121076233,19
19.74,1,W,W,,,4.32,4.68,81,104,185,2.269512944,16,3.0431,0.19019375,0.810536981,5
17.18,1,W,W,,,4.79,4.98,57,47,104,2.021189299,25,3.6911,0.147644,1.455180442,14
17.43,1,W,W,,,5.16,4.85,55,51,106,2.029383778,16,2.046,0.127875,0.917957544,0
18.67,1,W,W,,,4.92,4.67,61,31,92,1.968482949,22,3.5331,0.160595455,1.178361007,16
17.27,1,W,W,,,5.63,4.78,133,28,161,2.209515015,28,4.5053,0.160903571,1.621308628,16
16.9,1,W,W,,,5.04,4.86,100,44,144,2.161368002,11,2.5413,0.231027273,0.650887574,6
16.86,1,W,W,,,5.32,4.15,28,31,59,1.77815125,27,3.3831,0.1253,1.601423488,2
17.91,1,W,W,,,4.68,4.98,20,27,47,1.681241237,14,2.8673,0.204807143,0.781686209,5
17.11,1,W,W,,,4.69,4.66,103,89,192,2.285557309,2,0.4265,0.21325,0.116890707,2
17.48,1,W,W,,,5.32,5.3,72,24,96,1.986771734,26,4.3828,0.168569231,1.487414188,10
16.57,1,W,W,,,5.38,4.91,70,18,88,1.949390007,22,3.2494,0.1477,1.327700664,30
16.68,1,W,W,,,4.82,3.98,47,4,51,1.716003344,18,2.8012,0.155622222,1.079136691,17
16.38,1,W,W,,,5.06,5.43,10,15,25,1.414973348,20,3.2734,0.16367,1.221001221,0
15.23,1,W,W,,,5.47,4.44,57,56,113,2.056904851,14,1.686,0.120428571,0.919238345,8
15.81,1,W,W,,,4.45,4.24,2,3,5,0.77815125,23,3.0868,0.134208696,1.454775459,7
16.65,1,W,C,,,4.16,4.71,,,,,24,4.0478,0.168658333,1.441441441,8
16.84,1,W,W,,,4.69,5.55,63,31,94,1.977723605,24,2.8498,0.118741667,1.425178147,11
15.72,1,W,W,,,4.78,4.81,89,64,153,2.187520721,8,1.4855,0.1856875,0.508905852,0
17.28,1,W,W,,,5.03,5.15,151,19,170,2.23299611,27,3.6382,0.134748148,1.5625,22
16.97,1,W,W,,,5.14,4.97,255,67,322,2.509202522,5,1.0077,0.20154,0.294637596,18
18.31,1,W,W,,,5.03,4.6,73,65,138,2.1430148,24,3.293,0.137208333,1.310759148,23
17.12,1,W,W,,,5.03,5,46,50,96,1.986771734,21,3.0908,0.147180952,1.226635514,15
17.48,1,W,W,,,5.05,4.83,59,40,99,2,16,2.8159,0.17599375,0.915331808,9
